name,region,rating,Red Wine_Collectible,Red Wine_Green Wine,Red Wine_Pink and Rosé,Red Wine_Red Wine,Red Wine_Screw Cap,Red Wine_Sparkling & Champagne,Red Wine_White Wine
A Coroa Godello 2016,"Valdeorras, Spain",92.0,False,False,False,False,False,False,True
A. Mano Puglia Primitivo 2000,Italy,88.0,False,False,False,True,False,False,False
A. Mano Puglia Primitivo 2001,Italy,89.0,False,False,False,True,False,False,False
A. Mano Puglia Primitivo 2006,Italy,88.0,False,False,False,True,False,False,False
A. Margaine Brut Cuvee Traditionelle,"Champagne, France",92.0,False,False,False,False,False,True,False
A. Margaine Extra Brut,"Champagne, France",91.0,False,False,False,False,False,True,False
A Portela Mencia 2010,Spain,90.0,False,False,False,True,False,False,False
A Portela Mencia 2011,Spain,93.0,False,False,False,True,False,False,False
A Portela Mencia 2013,Spain,92.0,False,False,False,True,False,False,False
A. Semedo Bairrada Tinto 2012,Portugal,91.0,False,False,False,True,False,False,False
A to Z Chardonnay 2005,Oregon,87.0,False,False,False,False,False,False,True
A to Z Chardonnay 2006,Oregon,90.0,False,False,False,False,False,False,True
A to Z Chardonnay 2008,Oregon,87.0,False,False,False,False,False,False,True
A to Z Chardonnay 2009,Oregon,88.0,False,False,False,False,False,False,True
A to Z Chardonnay 2014,Oregon,90.0,False,False,False,False,False,False,True
A to Z Chardonnay 2018,Oregon,90.0,False,False,False,False,False,False,True
A to Z Essence Pinot Noir 2015,Oregon,90.0,False,False,False,True,False,False,False
A to Z Pinot Gris 2003,"Willamette Valley, Oregon",88.0,False,False,False,False,False,False,True
A to Z Pinot Gris 2006,"Willamette Valley, Oregon",89.0,False,False,False,False,False,False,True
A to Z Pinot Gris 2007,"Willamette Valley, Oregon",88.0,False,False,False,False,False,False,True
A to Z Pinot Gris 2009,"Willamette Valley, Oregon",88.0,False,False,False,False,False,False,True
A to Z Pinot Gris 2010,"Willamette Valley, Oregon",88.0,False,False,False,False,False,False,True
A to Z Pinot Gris 2012,Oregon,88.0,False,False,False,False,False,False,True
A to Z Pinot Gris 2011,"Willamette Valley, Oregon",89.0,False,False,False,False,False,False,True
A to Z Pinot Gris 2013,Oregon,88.0,False,False,False,False,False,False,True
A to Z Pinot Gris 2014,Oregon,89.0,False,False,False,False,False,False,True
A to Z Pinot Gris 2015,Oregon,90.0,False,False,False,False,False,False,True
A to Z Pinot Gris 2016,Oregon,90.0,False,False,False,False,False,False,True
A to Z Pinot Noir 2002,"Willamette Valley, Oregon",88.0,False,False,False,True,False,False,False
A to Z Pinot Noir 2003,"Willamette Valley, Oregon",88.0,False,False,False,True,False,False,False
A to Z Pinot Noir 2004,"Willamette Valley, Oregon",87.0,False,False,False,True,False,False,False
A to Z Pinot Noir 2006,"Willamette Valley, Oregon",90.0,False,False,False,True,False,False,False
A to Z Pinot Noir 2009,"Willamette Valley, Oregon",90.0,False,False,False,True,False,False,False
A to Z Pinot Noir 2011,Oregon,90.0,False,False,False,True,False,False,False
A to Z Pinot Noir 2012,Oregon,89.0,False,False,False,True,False,False,False
A to Z Pinot Noir 2013,Oregon,89.0,False,False,False,True,False,False,False
A to Z Pinot Noir 2014,Oregon,89.0,False,False,False,True,False,False,False
A to Z Pinot Noir 2017,"Willamette Valley, Oregon",89.0,False,False,False,True,False,False,False
A to Z Pinot Noir (375ML half-bottle) 2013,Oregon,89.0,False,False,False,True,False,False,False
A to Z Riesling 2013,Oregon,90.0,False,False,False,False,False,False,True
A to Z Riesling 2014,"Rogue Valley, Oregon",90.0,False,False,False,False,False,False,True
A to Z Riesling 2015,"Rogue Valley, Oregon",92.0,False,False,False,False,False,False,True
A to Z Riesling 2016,"Rogue Valley, Oregon",92.0,False,False,False,False,False,False,True
A to Z Riesling 2017,"Rogue Valley, Oregon",90.0,False,False,False,False,False,False,True
A to Z Rose 2016,Oregon,89.0,False,False,True,False,False,False,False
A Tribute to Grace Santa Barbara County Grenache 2016,"Santa Barbara, Central Coast, California",91.0,False,False,False,True,False,False,False
A Tribute to Grace Santa Barbara County Grenache 2017,"Santa Barbara, Central Coast, California",91.0,False,False,False,True,False,False,False
A Tribute to Grace Santa Barbara Highlands Vineyard Rose of Grenache 2017,"Central Coast, California",90.0,False,False,True,False,False,False,False
A Tribute to Grace Shake Ridge Ranch Vineyard Grenache 2012,"Amador, Sierra Foothills, California",91.0,False,False,False,True,False,False,False
A Tribute to Grace Shake Ridge Ranch Vineyard Grenache 2013,"Amador, Sierra Foothills, California",90.0,False,False,False,True,False,False,False
A Tribute to Grace Vie Caprice Vineyard Grenache 2014,"Santa Ynez Valley, Santa Barbara, Central Coast, California",90.0,False,False,False,True,False,False,False
A Tribute to Grace Vie Caprice Vineyard Grenache 2015,"Santa Ynez Valley, Santa Barbara, Central Coast, California",90.0,False,False,False,True,False,False,False
Aalto 2003,"Ribera del Duero, Spain",90.0,False,False,False,True,False,False,False
Aalto 2004,"Ribera del Duero, Spain",94.0,False,False,False,True,False,False,False
Aalto 2005,"Ribera del Duero, Spain",95.0,False,False,False,True,False,False,False
Aalto 2007,"Ribera del Duero, Spain",95.0,False,False,False,True,False,False,False
Aalto 2006,"Ribera del Duero, Spain",90.0,False,False,False,True,False,False,False
Aalto 2008,"Ribera del Duero, Spain",95.0,False,False,False,True,False,False,False
Aalto 2009,"Ribera del Duero, Spain",91.0,False,False,False,True,False,False,False
Aalto 2010,"Ribera del Duero, Spain",94.0,False,False,False,True,False,False,False
Aalto 2011,"Ribera del Duero, Spain",91.0,False,False,False,True,False,False,False
Aalto 2012,"Ribera del Duero, Spain",94.0,False,False,False,True,False,False,False
Aalto 2013,"Ribera del Duero, Spain",93.0,False,False,False,True,False,False,False
Aalto 2014,"Ribera del Duero, Spain",92.0,False,False,False,True,False,False,False
Aalto 2015,"Ribera del Duero, Spain",93.0,False,False,False,True,False,False,False
Aalto 2016,"Ribera del Duero, Spain",95.0,False,False,False,True,False,False,False
Aalto PS 2011,"Ribera del Duero, Spain",94.0,False,False,False,True,False,False,False
Aalto PS 2013,"Ribera del Duero, Spain",95.0,False,False,False,True,False,False,False
Aalto PS 2014,"Ribera del Duero, Spain",94.0,False,False,False,True,False,False,False
Aalto PS 2015,"Ribera del Duero, Spain",95.0,False,False,False,True,False,False,False
Aaron Wines Petite Sirah 2015,"Paso Robles, Central Coast, California",93.0,False,False,False,True,False,False,False
Abacela Albarino 2008,"Umpqua Valley, Oregon",87.0,False,False,False,False,False,False,True
Abacela Albarino 2009,"Umpqua Valley, Oregon",90.0,False,False,False,False,False,False,True
Abacela Albarino 2010,"Umpqua Valley, Oregon",90.0,False,False,False,False,False,False,True
Abacela Albarino 2014,"Umpqua Valley, Oregon",89.0,False,False,False,False,False,False,True
Abacela Albarino 2019,"Umpqua Valley, Oregon",91.0,False,False,False,False,False,False,True
Abacela Estate Tempranillo 2006,"Umpqua Valley, Oregon",91.0,False,False,False,True,False,False,False
Abacela Estate Tempranillo 2007,"Umpqua Valley, Oregon",90.0,False,False,False,True,False,False,False
Abacela Fiesta Tempranillo 2014,"Umpqua Valley, Oregon",91.0,False,False,False,True,False,False,False
Abacela Fiesta Tempranillo 2015,"Umpqua Valley, Oregon",92.0,False,False,False,True,False,False,False
Abacela Fiesta Tempranillo 2016,"Umpqua Valley, Oregon",90.0,False,False,False,True,False,False,False
Abacela Grenache Rose 2014,"Umpqua Valley, Oregon",89.0,False,False,True,False,False,False,False
Abadia Retuerta Cuvee El Campanario 1997,"Ribera del Duero, Spain",90.0,False,False,False,True,False,False,False
Abadia Retuerta Le Domaine Blanco 2015,Spain,91.0,False,False,False,False,False,False,True
Abadia Retuerta Pago Garduna Syrah Vino de la Tierra de Castilla y Leon 2009,Spain,90.0,False,False,False,True,False,False,False
Abadia Retuerta Pago Garduna Syrah Vino de la Tierra de Castilla y Leon 2010,Spain,90.0,False,False,False,True,False,False,False
Abadia Retuerta Pago Negralada Tempranillo 2009,Spain,90.0,False,False,False,True,False,False,False
Abadia Retuerta Pago Negralada Tempranillo 2010,Spain,92.0,False,False,False,True,False,False,False
Abadia Retuerta Pago Negralada Tempranillo 2011,Spain,91.0,False,False,False,True,False,False,False
Abadia Retuerta Pago Negralada Tempranillo 2012,Spain,90.0,False,False,False,True,False,False,False
Abadia Retuerta Pago Negralada Tempranillo 2013,Spain,91.0,False,False,False,True,False,False,False
Abadia Retuerta Pago Negralada Tempranillo 2014,Spain,90.0,False,False,False,True,False,False,False
Abadia Retuerta Pago Valdebellon Cabernet Sauvignon 2009,Spain,90.0,False,False,False,True,False,False,False
Abadia Retuerta Pago Valdebellon Cabernet Sauvignon 2010,Spain,92.0,False,False,False,True,False,False,False
Abadia Retuerta Pago Valdebellon Cabernet Sauvignon 2011,Spain,94.0,False,False,False,True,False,False,False
Abadia Retuerta Pago Valdebellon Cabernet Sauvignon 2013,Spain,91.0,False,False,False,True,False,False,False
Abadia Retuerta Pago Valdebellon Cabernet Sauvignon 2014,Spain,92.0,False,False,False,True,False,False,False
Abadia Retuerta Rivola 1999,"Ribera del Duero, Spain",90.0,False,False,False,True,False,False,False
Abadia Retuerta Rivola 2000,"Ribera del Duero, Spain",88.0,False,False,False,True,False,False,False
Abadia Retuerta Rivola 2001,"Ribera del Duero, Spain",90.0,False,False,False,True,False,False,False
Abadia Retuerta Rivola 2004,"Ribera del Duero, Spain",88.0,False,False,False,True,False,False,False
Abadia Retuerta Rivola 2005,"Ribera del Duero, Spain",87.0,False,False,False,True,False,False,False
Abadia Retuerta Rivola 2006,"Ribera del Duero, Spain",90.0,False,False,False,True,False,False,False
Abadia Retuerta Rivola 2008,Spain,88.0,False,False,False,True,False,False,False
Abadia Retuerta Seleccion Especial (1.5 Liter Magnum) 2015,Spain,92.0,False,False,False,True,False,False,False
Abadia Retuerta Seleccion Especial 1999,"Ribera del Duero, Spain",92.0,False,False,False,True,False,False,False
Abadia Retuerta Seleccion Especial 2000,"Ribera del Duero, Spain",91.0,False,False,False,True,False,False,False
Abadia Retuerta Seleccion Especial 2005,"Ribera del Duero, Spain",90.0,False,False,False,True,False,False,False
Abadia Retuerta Seleccion Especial 2007,Spain,90.0,False,False,False,True,False,False,False
Abadia Retuerta Seleccion Especial 2009,Spain,90.0,False,False,False,True,False,False,False
Abadia Retuerta Seleccion Especial 2010,Spain,92.0,False,False,False,True,False,False,False
Abadia Retuerta Seleccion Especial 2011,Spain,92.0,False,False,False,True,False,False,False
Abadia Retuerta Seleccion Especial 2013,Spain,93.0,False,False,False,True,False,False,False
Abadia Retuerta Seleccion Especial 2012,Spain,93.0,False,False,False,True,False,False,False
Abadia Retuerta Seleccion Especial 2014,Spain,92.0,False,False,False,True,False,False,False
Abadia Retuerta Seleccion Especial 2015,Spain,92.0,False,False,False,True,False,False,False
Abadia Retuerta Seleccion Especial (Stained Label) 2011,Spain,92.0,False,False,False,True,False,False,False
Abbazia di Novacella Gewurztraminer 2007,"Trentino-Alto Adige, Italy",90.0,False,False,False,False,False,False,True
Abbazia di Novacella Gruner Veltliner 2017,"Alto Adige, Trentino-Alto Adige, Italy",90.0,False,False,False,False,False,False,True
Abbazia di Novacella Kerner 2007,"Trentino-Alto Adige, Italy",91.0,False,False,False,False,False,False,True
Abbazia di Novacella Kerner 2016,"Trentino-Alto Adige, Italy",91.0,False,False,False,False,False,False,True
Abbazia di Novacella Kerner 2017,"Trentino-Alto Adige, Italy",94.0,False,False,False,False,False,False,True
Abbazia di Novacella Kerner 2019,"Trentino-Alto Adige, Italy",91.0,False,False,False,False,False,False,True
Abbazia di Novacella Lagrein 2007,"Trentino-Alto Adige, Italy",92.0,False,False,False,True,False,False,False
Abbazia di Novacella Lagrein 2010,"Trentino-Alto Adige, Italy",90.0,False,False,False,True,False,False,False
Abbazia di Novacella Lagrein 2013,"Trentino-Alto Adige, Italy",89.0,False,False,False,True,False,False,False
Abbazia di Novacella Pinot Grigio 2011,"Trentino-Alto Adige, Italy",90.0,False,False,False,False,False,False,True
Abbazia di Novacella Pinot Grigio 2013,"Trentino-Alto Adige, Italy",91.0,False,False,False,False,False,False,True
Abbazia di Novacella Pinot Grigio 2014,"Trentino-Alto Adige, Italy",90.0,False,False,False,False,False,False,True
Abbazia di Novacella Pinot Grigio 2015,"Trentino-Alto Adige, Italy",90.0,False,False,False,False,False,False,True
Abbazia di Novacella Pinot Grigio 2018,"Trentino-Alto Adige, Italy",90.0,False,False,False,False,False,False,True
Abbazia di Novacella Pinot Grigio 2019,"Trentino-Alto Adige, Italy",92.0,False,False,False,False,False,False,True
Abbazia di Novacella Praepositus Kerner 2013,"Trentino-Alto Adige, Italy",92.0,False,False,False,False,False,False,True
Abbazia di Novacella Praepositus Kerner 2014,"Trentino-Alto Adige, Italy",91.0,False,False,False,False,False,False,True
Abbazia di Novacella Praepositus Kerner 2015,"Trentino-Alto Adige, Italy",95.0,False,False,False,False,False,False,True
Abbazia di Novacella Sylvaner 2008,"Trentino-Alto Adige, Italy",87.0,False,False,False,False,False,False,True
Abbona Barolo Ravera 2015,"Barolo, Piedmont, Italy",92.0,False,False,False,True,False,False,False
Abbona Papa Celso Dolcetto 2015,"Piedmont, Italy",90.0,False,False,False,True,False,False,False
Abbona Pressenda Barolo 2007,"Barolo, Piedmont, Italy",93.0,False,False,False,True,False,False,False
Abbona Pressenda Barolo 2008,"Barolo, Piedmont, Italy",91.0,False,False,False,True,False,False,False
Abbona Pressenda Barolo 2010,"Barolo, Piedmont, Italy",92.0,False,False,False,True,False,False,False
Abbona Pressenda Barolo 2011,"Barolo, Piedmont, Italy",90.0,False,False,False,True,False,False,False
Abbona Pressenda Barolo 2012,"Barolo, Piedmont, Italy",92.0,False,False,False,True,False,False,False
Abbona Pressenda Barolo 2013,"Barolo, Piedmont, Italy",90.0,False,False,False,True,False,False,False
Abbona Rinaldi Barbera d'Alba 2013,"Alba, Piedmont, Italy",90.0,False,False,False,True,False,False,False
Abbona Rinaldi Barbera d'Alba 2015,"Alba, Piedmont, Italy",90.0,False,False,False,True,False,False,False
Abbona Terlo Ravera Barolo 2007,"Barolo, Piedmont, Italy",91.0,False,False,False,True,False,False,False
Abbona Terlo Ravera Barolo 2009,"Barolo, Piedmont, Italy",93.0,False,False,False,True,False,False,False
Abbona Terlo Ravera Barolo 2010,"Barolo, Piedmont, Italy",93.0,False,False,False,True,False,False,False
Abbona Terlo Ravera Barolo 2011,"Barolo, Piedmont, Italy",90.0,False,False,False,True,False,False,False
Abbona Terlo Ravera Barolo 2012,"Barolo, Piedmont, Italy",93.0,False,False,False,True,False,False,False
Abeja Cabernet Sauvignon 2006,"Columbia Valley, Washington",91.0,False,False,False,True,False,False,False
Abeja Cabernet Sauvignon 2012,"Columbia Valley, Washington",91.0,False,False,False,True,False,False,False
Abeja Cabernet Sauvignon 2013,"Columbia Valley, Washington",92.0,False,False,False,True,False,False,False
Abeja Cabernet Sauvignon 2014,"Columbia Valley, Washington",92.0,False,False,False,True,False,False,False
Abeja Chardonnay 2015,Washington,90.0,False,False,False,False,False,False,True
Abeja Chardonnay 2014,Washington,93.0,False,False,False,False,False,False,True
Abeja Merlot 2014,"Columbia Valley, Washington",90.0,False,False,False,True,False,False,False
Aberrant Cellars Carpe Noctem Pinot Noir 2011,"Willamette Valley, Oregon",94.0,False,False,False,True,False,False,False
Abremundos Uco Valley Octava Bassa Malbec 2014,"Uco Valley, Mendoza, Argentina",91.0,False,False,False,True,False,False,False
Abreu Vineyards Cappella 2006,"Napa Valley, California",94.0,False,False,False,True,False,False,False
Abreu Vineyards Cappella 2007,"Napa Valley, California",96.0,False,False,False,True,False,False,False
Abreu Vineyards Cappella 2010,"Napa Valley, California",98.0,False,False,False,True,False,False,False
Abreu Vineyards Howell Mountain 2008,"Howell Mountain, Napa Valley, California",96.0,False,False,False,True,False,False,False
Abreu Vineyards Howell Mountain 2009,"Howell Mountain, Napa Valley, California",98.0,False,False,False,True,False,False,False
Abreu Vineyards Las Posadas Howell Mountain 2012,"Howell Mountain, Napa Valley, California",99.0,False,False,False,True,False,False,False
Abreu Vineyards Madrona Ranch 1993,"Napa Valley, California",96.0,False,False,False,True,False,False,False
Abreu Vineyards Madrona Ranch 1996,"Napa Valley, California",98.0,False,False,False,True,False,False,False
Abreu Vineyards Madrona Ranch 2000,"Napa Valley, California",92.0,False,False,False,True,False,False,False
Abreu Vineyards Madrona Ranch 2003,"Napa Valley, California",96.0,False,False,False,True,False,False,False
Abreu Vineyards Madrona Ranch 2004,"Napa Valley, California",96.0,False,False,False,True,False,False,False
Abreu Vineyards Madrona Ranch 2005,"Napa Valley, California",98.0,False,False,False,True,False,False,False
Abreu Vineyards Thorevilos 2004,"Napa Valley, California",95.0,False,False,False,True,False,False,False
Abreu Vineyards Thorevilos 2009,"Napa Valley, California",98.0,False,False,False,True,False,False,False
Abreu Vineyards Thorevilos 2012,"Napa Valley, California",99.0,False,False,False,True,False,False,False
Abreu Vineyards Thorevilos 2014,"Napa Valley, California",97.0,False,False,False,True,False,False,False
Abrigo Giovanni Barolo Ravera 2015,"Barolo, Piedmont, Italy",90.0,False,False,False,True,False,False,False
Abreu Vineyards Thorevilos 2015,"Napa Valley, California",97.0,False,False,False,True,False,False,False
Acacia Beckstoffer Pinot Noir 1997,"Carneros, California",87.0,False,False,False,True,False,False,False
Acacia Beckstoffer Pinot Noir 1998,"Carneros, California",88.0,False,False,False,True,False,False,False
Acacia Beckstoffer Pinot Noir 1999,"Carneros, California",90.0,False,False,False,True,False,False,False
Acacia Beckstoffer Pinot Noir 2000,"Carneros, California",88.0,False,False,False,True,False,False,False
Acacia Beckstoffer Pinot Noir 2001,"Carneros, California",91.0,False,False,False,True,False,False,False
Acacia Carneros Brut 1993,"Carneros, California",91.0,False,False,False,False,False,True,False
Acacia Carneros Chardonnay 1998,"Carneros, California",87.0,False,False,False,False,False,False,True
Acacia Carneros Chardonnay 2000,"Carneros, California",87.0,False,False,False,False,False,False,True
Acacia Carneros Chardonnay 2001,"Carneros, California",87.0,False,False,False,False,False,False,True
Acacia Carneros Chardonnay 2003,"Carneros, California",90.0,False,False,False,False,False,False,True
Acacia Carneros Chardonnay 2005,"Carneros, California",92.0,False,False,False,False,False,False,True
Acacia Carneros Chardonnay 2009,"Carneros, California",88.0,False,False,False,False,False,False,True
Acacia Carneros Chardonnay 2010,"Carneros, California",88.0,False,False,False,False,False,False,True
Acacia Carneros Chardonnay (half-bottle) 1998,"Carneros, California",87.0,False,False,False,False,False,False,True
Acacia Carneros Pinot Noir 1999,"Napa Valley, California",91.0,False,False,False,True,False,False,False
Acacia Carneros Pinot Noir 2000,"Napa Valley, California",89.0,False,False,False,True,False,False,False
Acacia Carneros Pinot Noir 2002,"Napa Valley, California",90.0,False,False,False,True,False,False,False
Acacia Carneros Pinot Noir 2005,"Carneros, California",89.0,False,False,False,True,False,False,False
Acacia Carneros Pinot Noir 2009,"Carneros, California",87.0,False,False,False,True,False,False,False
Acacia Carneros Pinot Noir 2013,"Carneros, California",90.0,False,False,False,True,False,False,False
Acacia Carneros Pinot Noir 2016,"Carneros, California",90.0,False,False,False,True,False,False,False
Acacia Carneros Pinot Noir (375ML half-bottle) 2009,"Carneros, California",87.0,False,False,False,True,False,False,False
Acacia Chardonnay (half-bottle) 1997,"Carneros, California",86.0,False,False,False,False,False,False,True
Acacia Desoto Vineyard Pinot Noir 1999,"Carneros, California",92.0,False,False,False,True,False,False,False
Acacia Pinot Noir 1998,"Carneros, California",88.0,False,False,False,True,False,False,False
Acacia Pinot Noir 2000,"Carneros, California",88.0,False,False,False,True,False,False,False
Acacia Pinot Noir 2001,"Carneros, California",89.0,False,False,False,True,False,False,False
Acacia Pinot Noir 2002,"Carneros, California",90.0,False,False,False,True,False,False,False
Acacia Pinot Noir Lee 1997,"Carneros, California",94.0,False,False,False,True,False,False,False
Acacia Pinot Noir Lee 1998,"Carneros, California",89.0,False,False,False,True,False,False,False
Acacia Pinot Noir Lee 1999,"Carneros, California",89.0,False,False,False,True,False,False,False
Acacia St. Clair Pinot Noir 2000,"Carneros, California",90.0,False,False,False,True,False,False,False
Acacia St. Clair Pinot Noir 2001,"Carneros, California",91.0,False,False,False,True,False,False,False
Accendo Cellars Cabernet Sauvignon 2016,"Napa Valley, California",96.0,False,False,False,True,False,False,False
Accendo Cellars Sauvignon Blanc 2017,"Napa Valley, California",92.0,False,False,False,False,False,False,True
Accordini Igino Le Bessole Amarone della Valpolicella 2007,"Valpolicella, Veneto, Italy",92.0,False,False,False,True,False,False,False
Accordini Igino Le Bessole Amarone della Valpolicella 2011,"Valpolicella, Veneto, Italy",90.0,False,False,False,True,False,False,False
Achaia Clauss Mavrodaphne,Greece,88.0,False,False,False,False,False,False,False
Achaval-Ferrer Finca Altamira Malbec (1.5 Liter Magnum) 2009,Argentina,92.0,False,False,False,True,False,False,False
Achaval-Ferrer Finca Altamira Malbec 2001,Argentina,92.0,False,False,False,True,False,False,False
Achaval-Ferrer Finca Altamira Malbec 2002,Argentina,94.0,False,False,False,True,False,False,False
Achaval-Ferrer Finca Altamira Malbec 2007,Argentina,90.0,False,False,False,True,False,False,False
Achaval-Ferrer Finca Altamira Malbec 2006,Argentina,93.0,False,False,False,True,False,False,False
Achaval-Ferrer Finca Altamira Malbec 2008,Argentina,93.0,False,False,False,True,False,False,False
Achaval-Ferrer Finca Altamira Malbec 2009,"Mendoza, Argentina",92.0,False,False,False,True,False,False,False
Achaval-Ferrer Finca Altamira Malbec 2010,"Mendoza, Argentina",93.0,False,False,False,True,False,False,False
Achaval-Ferrer Finca Altamira Malbec 2012,"Mendoza, Argentina",92.0,False,False,False,True,False,False,False
Achaval-Ferrer Finca Altamira Malbec 2011,"Mendoza, Argentina",95.0,False,False,False,True,False,False,False
Achaval-Ferrer Finca Altamira Malbec 2013,"Mendoza, Argentina",92.0,False,False,False,True,False,False,False
Achaval-Ferrer Finca Altamira Malbec 2014,"Mendoza, Argentina",95.0,False,False,False,True,False,False,False
Achaval-Ferrer Finca Bella Vista Malbec (1.5 Liter Magnum) 2009,Argentina,91.0,False,False,False,True,False,False,False
Achaval-Ferrer Finca Bella Vista Malbec 2007,Argentina,92.0,False,False,False,True,False,False,False
Achaval-Ferrer Finca Bella Vista Malbec 2008,Argentina,91.0,False,False,False,True,False,False,False
